"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"M2","jetson-nano-module","0mil","0mil","43576.8mil","41455.75mil","0mil","0mil","T","180.00","Value"
"D17","SOD-323","42923.82mil","41490.472mil","42923.82mil","41490.472mil","42923.82mil","41448.937mil","T","360.00","1N4148WS"
"J11","WE_632723300011","42068.926mil","41522.49mil","42068.929mil","41451.821mil","41960.658mil","41673.672mil","T","0.00","632723300011"
"USR","TL3340AF160QG","44030.117mil","42756.62mil","44033.07mil","42756.62mil","43985.826mil","42708.392mil","T","270.00","TL3340AF160QG"
"USER","LED0603","43891.68mil","42792.47mil","43891.68mil","42792.47mil","43891.68mil","42819.97mil","T","270.00","KPT-1608SGC"
"T5","SC70-3","43978.82mil","42945.47mil","43978.82mil","42945.47mil","44004.411mil","42982.872mil","T","270.00","BSS138PW"
"T4","SC70-3","43433.82mil","41580.47mil","43433.82mil","41580.47mil","43459.411mil","41617.872mil","T","270.00","BSS138PW"
"T3","SC70-3","43648.82mil","42235.47mil","43648.82mil","42235.47mil","43611.418mil","42261.061mil","T","0.00","BSS138PW"
"T2","SC70-3","43343.82mil","41580.47mil","43343.82mil","41580.47mil","43369.411mil","41617.872mil","T","270.00","BSS138PW"
"T1","SC70-3","41143.82mil","41945.47mil","41143.82mil","41945.47mil","41118.229mil","41908.068mil","T","90.00","BSS138PW"
"SP6","M2.5-6mm","41072.8mil","41455.75mil","41072.8mil","41455.75mil","41072.8mil","41455.75mil","T","0.00","9774060151"
"SP5","M2.5-6mm","43576.8mil","41455.75mil","43576.8mil","41455.75mil","43576.8mil","41455.75mil","T","0.00","9774060151"
"SP4","M2.5-6mm","40395.64mil","41377.95mil","40395.64mil","41377.95mil","40395.64mil","41377.95mil","B","180.00","9774060151"
"SP3","M2.5-6mm","40395.64mil","43228.35mil","40395.64mil","43228.35mil","40395.64mil","43228.35mil","B","360.00","9774060151"
"SP2","M2.5-6mm","43947.83mil","41377.95mil","43947.83mil","41377.95mil","43947.83mil","41377.95mil","B","360.00","9774060151"
"SP1","M2.5-6mm","43948.77mil","43227.41mil","43948.77mil","43227.41mil","43948.77mil","43227.41mil","B","360.00","9774060151"
"RST","TL3340AF160QG","44032.047mil","42175mil","44035mil","42175mil","43987.756mil","42126.772mil","T","270.00","TL3340AF160QG"
"REC","TL3340AF160QG","44032.047mil","41925mil","44035mil","41925mil","43987.756mil","41876.772mil","T","270.00","TL3340AF160QG"
"R138","0402","41293.82mil","43465.48mil","41293.82mil","43465.48mil","41293.82mil","43446.582mil","T","90.00","0R"
"R137","0402","41463.82mil","43480.47mil","41463.82mil","43480.47mil","41482.718mil","43480.47mil","T","180.00","0R"
"R136","0402","41403.82mil","43465.47mil","41403.82mil","43465.47mil","41403.82mil","43484.368mil","B","270.00","0R"
"R135","0402","43458.82mil","41685.47mil","43458.82mil","41685.47mil","43458.82mil","41666.572mil","T","90.00","53k6"
"R134","0402","43538.82mil","41685.47mil","43538.82mil","41685.47mil","43538.82mil","41666.572mil","T","90.00","243k"
"R133","0402","41788.82mil","42850.48mil","41788.82mil","42850.48mil","41788.82mil","42869.378mil","T","270.00","0R"
"R132","0402","43073.022mil","42441mil","43073.022mil","42441mil","43054.125mil","42441mil","B","360.00","0R"
"R131","0402","42098.82mil","41800.47mil","42098.82mil","41800.47mil","42098.82mil","41819.368mil","T","270.00","10k"
